time,FPR (0.01),BTR (FPR 0.01),# txs (FPR 0.01),# tx matches (FPR 0.01),# bytes sent (FPR 0.01),# bytes received (FPR 0.01)
"6/17/2024, 4:13:00 PM",0.014,0.00218,500,7,2528338,5501
"6/17/2024, 4:13:02 PM",0.016,0.00363,1000,16,4856675,17650
"6/17/2024, 4:13:04 PM",0.022,0.01275,1500,33,7206227,91878
"6/17/2024, 4:13:06 PM",0.022,0.0115,2000,44,9798980,112667
"6/17/2024, 4:13:08 PM",0.0204,0.01009,2500,51,12532899,126430
"6/17/2024, 4:13:10 PM",0.01933,0.01017,3000,58,15422543,156810
"6/17/2024, 4:13:12 PM",0.01857,0.01095,3500,65,17660483,193405
"6/17/2024, 4:13:14 PM",0.01825,0.01055,4000,73,20265852,213812
"6/17/2024, 4:13:16 PM",0.01889,0.013,4500,85,22575009,293463
"6/17/2024, 4:13:19 PM",0.019,0.01241,5000,95,24886079,308820
"6/17/2024, 4:13:22 PM",0.01964,0.01335,5500,108,27245110,363807
"6/17/2024, 4:13:23 PM",0.0195,0.0132,6000,117,29985472,395700
"6/17/2024, 4:13:26 PM",0.01985,0.01358,6500,129,32535173,441882
"6/17/2024, 4:13:27 PM",0.01971,0.01296,7000,138,34726487,450167
"6/17/2024, 4:13:29 PM",0.0208,0.0131,7500,156,37209349,487473
"6/17/2024, 4:13:31 PM",0.02038,0.01269,8000,163,39468271,500948
"6/17/2024, 4:13:32 PM",0.02059,0.01277,8500,175,41768925,533588
"6/17/2024, 4:13:34 PM",0.02056,0.01293,9000,185,44512689,575616
"6/17/2024, 4:13:36 PM",0.02126,0.01323,9500,202,46725582,618357
"6/17/2024, 4:13:39 PM",0.0208,0.01289,10000,208,48980502,631154
"6/17/2024, 4:13:41 PM",0.02067,0.01265,10500,217,51085635,646459
"6/17/2024, 4:13:44 PM",0.02127,0.01305,11000,234,53062392,692660
"6/17/2024, 4:13:46 PM",0.0213,0.01276,11500,245,55007157,701986
"6/17/2024, 4:13:49 PM",0.02117,0.0127,12000,254,57324514,728075
"6/17/2024, 4:13:50 PM",0.02088,0.01262,12500,261,59461229,750400
"6/17/2024, 4:13:52 PM",0.02115,0.01296,13000,275,61772850,800371
"6/17/2024, 4:13:56 PM",0.02089,0.01311,13500,282,63925886,837782
"6/17/2024, 4:13:59 PM",0.02136,0.01369,14000,299,66210169,906673
"6/17/2024, 4:14:01 PM",0.02166,0.01407,14500,314,68340756,961632
"6/17/2024, 4:14:04 PM",0.0214,0.01394,15000,321,70355639,980696
"6/17/2024, 4:14:06 PM",0.0211,0.0141,15500,327,72352209,1020010
"6/17/2024, 4:14:08 PM",0.02106,0.01381,16000,337,74584265,1029915
"6/17/2024, 4:14:10 PM",0.02085,0.01362,16500,344,76766167,1045488
"6/17/2024, 4:14:13 PM",0.02047,0.01332,17000,348,79161245,1054269
"6/17/2024, 4:14:15 PM",0.02034,0.01322,17500,356,81315936,1075020
"6/17/2024, 4:14:18 PM",0.02017,0.01317,18000,363,82891701,1091419
"6/17/2024, 4:14:19 PM",0.01962,0.01298,18500,363,84058636,1091419
"6/17/2024, 4:14:21 PM",0.01932,0.01293,19000,367,85334491,1103341
"6/17/2024, 4:14:22 PM",0.01897,0.01287,19500,370,86351837,1111336
"6/17/2024, 4:14:24 PM",0.01875,0.01267,20000,375,87993316,1114626
"6/17/2024, 4:14:26 PM",0.01873,0.01277,20500,384,89947046,1148904
"6/17/2024, 4:14:28 PM",0.01848,0.01267,21000,388,91492652,1158832
"6/17/2024, 4:14:30 PM",0.01847,0.01252,21500,397,93205056,1167090
"6/17/2024, 4:14:32 PM",0.01832,0.01236,22000,403,94850807,1172779
"6/17/2024, 4:14:34 PM",0.01813,0.01212,22500,408,97165196,1177574
"6/17/2024, 4:14:37 PM",0.01787,0.012,23000,411,99268463,1190892
"6/17/2024, 4:14:39 PM",0.01766,0.01181,23500,415,101245244,1195978
"6/17/2024, 4:14:42 PM",0.01771,0.01184,24000,425,102904418,1218814
"6/17/2024, 4:14:44 PM",0.01784,0.01188,24500,437,104804165,1245194
"6/17/2024, 4:14:46 PM",0.01804,0.01189,25000,451,106719788,1269400
"6/17/2024, 4:14:49 PM",0.01824,0.01193,25500,465,108790123,1297676
"6/17/2024, 4:14:51 PM",0.01831,0.01195,26000,476,110957242,1325427
"6/17/2024, 4:14:54 PM",0.01834,0.01216,26500,486,112831136,1372414
"6/17/2024, 4:14:57 PM",0.0183,0.01202,27000,494,114971052,1381627
"6/17/2024, 4:14:59 PM",0.01822,0.01195,27500,501,117026171,1397913
"6/17/2024, 4:15:01 PM",0.01818,0.01182,28000,509,118964900,1405833
"6/17/2024, 4:15:03 PM",0.01839,0.01208,28500,524,121030046,1462554
"6/17/2024, 4:15:05 PM",0.01838,0.01224,29000,533,122893562,1504296
"6/17/2024, 4:15:07 PM",0.01831,0.01208,29500,540,125008890,1509563
"6/17/2024, 4:15:10 PM",0.0184,0.01197,30000,552,127227278,1523178
"6/17/2024, 4:15:12 PM",0.01882,0.01242,30500,574,129668482,1610961
"6/17/2024, 4:15:14 PM",0.01903,0.01271,31000,590,132193492,1679967
"6/17/2024, 4:15:17 PM",0.01886,0.01252,31500,594,134360994,1682380
"6/17/2024, 4:15:19 PM",0.01891,0.01273,32000,605,136381418,1736524
"6/17/2024, 4:15:21 PM",0.01883,0.0126,32500,612,138763340,1749068
"6/17/2024, 4:15:23 PM",0.01873,0.01245,33000,618,140758179,1752819
"6/17/2024, 4:15:24 PM",0.01881,0.01296,33500,630,142958584,1852303
"6/17/2024, 4:15:26 PM",0.01894,0.01336,34000,644,145077115,1938596
"6/17/2024, 4:15:28 PM",0.01919,0.0133,34500,662,146978711,1955207
"6/17/2024, 4:15:30 PM",0.01926,0.01333,35000,674,149056677,1986927
"6/17/2024, 4:15:32 PM",0.0193,0.01341,35500,685,151230120,2028030
"6/17/2024, 4:15:33 PM",0.01944,0.0134,36000,700,152976715,2049159
"6/17/2024, 4:15:35 PM",0.01948,0.01329,36500,711,154808120,2056711
"6/17/2024, 4:15:36 PM",0.01943,0.01317,37000,719,156606943,2062603
"6/17/2024, 4:15:38 PM",0.01933,0.01315,37500,725,158512818,2083829
"6/17/2024, 4:15:40 PM",0.01937,0.01314,38000,736,160470899,2109124
"6/17/2024, 4:15:42 PM",0.01961,0.01338,38500,755,162451098,2173475
"6/17/2024, 4:15:44 PM",0.01959,0.0134,39000,764,164148613,2199478
"6/17/2024, 4:15:46 PM",0.01954,0.01334,39500,772,165914499,2213621
"6/17/2024, 4:15:48 PM",0.01965,0.01347,40000,786,168099836,2264516
"6/17/2024, 4:15:50 PM",0.0196,0.01335,40500,794,169971720,2269781
"6/17/2024, 4:15:52 PM",0.01966,0.01342,41000,806,171835390,2306185
"6/17/2024, 4:15:55 PM",0.01981,0.01341,41500,822,174195250,2336472
"6/17/2024, 4:15:57 PM",0.01981,0.01338,42000,832,176706618,2363874
"6/17/2024, 4:16:00 PM",0.01993,0.01343,42500,847,178450772,2396031
"6/17/2024, 4:16:01 PM",0.02028,0.01441,43000,872,180882579,2606385
"6/17/2024, 4:16:04 PM",0.02034,0.01454,43500,885,183257792,2663945
"6/17/2024, 4:16:06 PM",0.02034,0.01451,44000,895,185310567,2689570
"6/17/2024, 4:16:09 PM",0.0204,0.01459,44500,908,187626135,2738111
"6/17/2024, 4:16:11 PM",0.02042,0.01446,45000,919,189983390,2746449
"6/17/2024, 4:16:13 PM",0.02051,0.01468,45500,933,192051108,2819149
"6/17/2024, 4:16:15 PM",0.0208,0.01562,46000,957,194400122,3037087
"6/17/2024, 4:16:17 PM",0.02101,0.0159,46500,977,196835857,3129979
"6/17/2024, 4:16:20 PM",0.02104,0.01584,47000,989,198872488,3150850
"6/17/2024, 4:16:22 PM",0.02101,0.01576,47500,998,201196506,3171812
