time,# oaddr matches (FPR 0.001),# paycred matches (FPR 0.001),# stakecred matches  (FPR 0.001),# total out (FPR 0.001),# total txs (FPR 0.001),# bytes filtered (FPR 0.001),# bytes received by client (FPR 0.001),# last tx hash (FPR 0.001)
"6/18/2024, 10:15:02 AM",2,2,0,1268,500,2528338,6867,0c4fb90d2ac85881b0c068c2aba211a163c3d71ba2b4b8c81a5aca29981edcef
"6/18/2024, 10:15:06 AM",3,4,1,2541,1000,4856675,11431,97b7e3f1170ace0076917c41818e7d177e9bda79cea7ec663a9cff0023d01f61
"6/18/2024, 10:15:08 AM",13,5,8,3878,1500,7206227,90491,f6827af4915e09615bfc03f97a2cafcc913ffe104b823ea7c36373047e383859
"6/18/2024, 10:15:11 AM",13,7,13,5257,2000,9798980,124837,9f826deb4ab5861bc12bc28af93767ae5bd9f9ccc6f18cffdd1ab07ca2890d03
"6/18/2024, 10:15:13 AM",16,14,19,6603,2500,12532899,256206,90b53a52da31fdd7659f78c8a7d449dc63942d7af1a9ba8df28b9b58b8777772
"6/18/2024, 10:15:15 AM",17,16,24,7951,3000,15422543,281076,1628bedd525bcdbd57f4edf6953562a42dc2a5b415f079f7b0a68381a65461bf
"6/18/2024, 10:15:18 AM",20,20,25,9225,3500,17660483,321728,6dc74e6515570fe7aeaec172bdb0103c129d6b240073a4c6e1b11e2f045a7111
"6/18/2024, 10:15:21 AM",24,28,29,10680,4000,20265852,426490,52f01d80b0bf5970cfa5421f0ef15b8cde290dece74142ea3b7c5dce1caae212
"6/18/2024, 10:15:24 AM",25,39,30,12003,4500,22575009,498220,015a282e6d892c0206205991622feb958890b776aeb370f13b7bb65808cc0faf
"6/18/2024, 10:15:27 AM",29,43,35,13423,5000,24886079,589052,80161d0d81b18778ca47fd55a69753aa86303025eadef9240d1863bd8df42700
"6/18/2024, 10:15:31 AM",32,49,40,14779,5500,27245110,664191,b3446c16ba2786c4f741273a12d314a08455743cbe9062ddf3094100531d7724
"6/18/2024, 10:15:33 AM",35,52,40,16199,6000,29985472,676031,6f0bdc0c0c5be5c2d6b21d3ae55f38230da5f55cbd7e93aaf2f78ce1c7e64054
"6/18/2024, 10:15:36 AM",38,52,41,17648,6500,32535173,684397,41555fbf18744eb9a6252549ca1c7d2191683612817cb574e4dd2784fdf17ee5
"6/18/2024, 10:15:38 AM",39,54,45,18970,7000,34726487,727086,42169521dfcfc9dc7ec05ef208985437ccbeb1b9837d5e8b6dbd775f7758ee5c
"6/18/2024, 10:15:41 AM",39,56,52,20405,7500,37209349,792648,b85e77c2fcd9652f5dccf14dac3d780456f5b41195a3aaf4b0804e0574a38570
"6/18/2024, 10:15:43 AM",45,56,56,21745,8000,39468271,848286,99692a300080e640528c52479e8bf0a6ae0582366b0d177322b31221c7541616
"6/18/2024, 10:15:45 AM",45,58,58,22965,8500,41768925,870340,690fcebe2e6a44801e5743245958e189a1e9254db0c2b2ef023689607f6f7c90
"6/18/2024, 10:15:47 AM",50,59,62,24348,9000,44512689,912461,2fb78dd5d04073b540cb5c3c27147aba6ad3aa309e2d3f328d8d5784c1f4d9c2
"6/18/2024, 10:15:50 AM",53,59,74,25718,9500,46725582,952300,49a4370cae950a0ac1dd88328803c3c8960824bf3eedcaef4a29fe13197d48c1
"6/18/2024, 10:15:53 AM",54,60,76,27170,10000,48980502,971464,d410da1536d3b6768a91544aa2404322ad14240ac75f3acbaab32da040144806
"6/18/2024, 10:15:57 AM",58,61,77,28604,10500,51085635,997402,bbbc7a12ffc15c6ddbf4d7097e73ac9ce93f1d3be6d57ef2105490b6a329fb47
"6/18/2024, 10:16:00 AM",62,64,78,29809,11000,53062392,1034328,a99535f5ed4795e55e7d86e9153b650b92f3db4c7d8eba8e120b8fd1e64be84c
"6/18/2024, 10:16:04 AM",62,64,79,31154,11500,55007157,1035098,ae6a7a19c4d41bc9acc19f4f9da5195d67bd2f49904bbc5056c1ef4c22ddc8fb
"6/18/2024, 10:16:07 AM",62,64,80,32464,12000,57324514,1035566,ef3962b1f8bab7bc4421b1d2e73417eb27358beeb74d21806e55ab4acc79aeb3
"6/18/2024, 10:16:09 AM",62,67,83,33899,12500,59461229,1058195,302015538ebec792542e2e3fa52b02187860d8ca8139804420c3d65b8da5db8a
"6/18/2024, 10:16:11 AM",66,69,85,35150,13000,61772850,1124277,3450e1bc3f1b1bc71b6f053fcc4dd5cb6043984ee4ce929526659da95b32080c
"6/18/2024, 10:16:16 AM",67,70,88,36365,13500,63925886,1175721,f4da3bd01fee17b92f0e82010cb5a13c8b1ff93ec8ed4ffd26547f4fd6639daa
"6/18/2024, 10:16:19 AM",72,75,90,37608,14000,66210169,1219389,26c5921b2249a993587e7aa9a479a9a2b796f330206eccf81abfc606354d2eef
"6/18/2024, 10:16:22 AM",76,77,91,38714,14500,68340756,1244330,c12821b11d27a099c4425028ea44981a6eadd334e9065d87e6e6c94239f3db84
