time,# oaddr matches (FPR 0.01),# paycred matches (FPR 0.01),# stakecred matches  (FPR 0.01),# total out (FPR 0.01),# total txs (FPR 0.01),# bytes filtered (FPR 0.01),# bytes received by client (FPR 0.01)
"6/18/2024, 9:51:03 AM",7,4,2,1269,500,2528338,36367
"6/18/2024, 9:51:06 AM",16,5,6,2537,1000,4856675,80608
"6/18/2024, 9:51:08 AM",32,8,13,3868,1500,7206227,243862
"6/18/2024, 9:51:09 AM",43,14,13,5247,2000,9798980,281328
"6/18/2024, 9:51:11 AM",49,20,15,6603,2500,12532899,323545
"6/18/2024, 9:51:12 AM",56,22,18,7946,3000,15422543,377842
"6/18/2024, 9:51:14 AM",63,31,22,9191,3500,17660483,491876
"6/18/2024, 9:51:16 AM",71,42,27,10616,4000,20265852,639033
"6/18/2024, 9:51:18 AM",83,53,29,11923,4500,22575009,782387
"6/18/2024, 9:51:20 AM",92,63,36,13334,5000,24886079,851689
"6/18/2024, 9:51:23 AM",102,68,45,14692,5500,27245110,952678
"6/18/2024, 9:51:24 AM",109,79,51,16097,6000,29985472,1059658
"6/18/2024, 9:51:26 AM",121,86,52,17530,6500,32535173,1139781
"6/18/2024, 9:51:28 AM",130,95,53,18854,7000,34726487,1172945
"6/18/2024, 9:51:30 AM",148,101,55,20290,7500,37209349,1234288
"6/18/2024, 9:51:31 AM",155,108,61,21628,8000,39468271,1326016
"6/18/2024, 9:51:32 AM",167,117,61,22836,8500,41768925,1401048
"6/18/2024, 9:51:34 AM",176,122,63,24217,9000,44512689,1477819
"6/18/2024, 9:51:36 AM",191,123,65,25578,9500,46725582,1521999
"6/18/2024, 9:51:38 AM",196,131,68,27023,10000,48980502,1547422
"6/18/2024, 9:51:40 AM",205,134,70,28449,10500,51085635,1576814
"6/18/2024, 9:51:42 AM",220,138,71,29648,11000,53062392,1655892
"6/18/2024, 9:51:45 AM",229,144,71,30985,11500,55007157,1689763
"6/18/2024, 9:51:47 AM",238,147,75,32287,12000,57324514,1725407
"6/18/2024, 9:51:48 AM",243,148,77,33728,12500,59461229,1744996
"6/18/2024, 9:51:50 AM",253,150,78,35012,13000,61772850,1789429
"6/18/2024, 9:51:53 AM",258,156,78,36222,13500,63925886,1843449
"6/18/2024, 9:51:55 AM",272,169,79,37460,14000,66210169,1972828
"6/18/2024, 9:51:57 AM",286,175,80,38549,14500,68340756,2042271
"6/18/2024, 9:51:59 AM",292,181,81,39774,15000,70355639,2077251
"6/18/2024, 9:52:01 AM",297,186,82,41035,15500,72352209,2142566
"6/18/2024, 9:52:03 AM",303,198,83,42272,16000,74584265,2170116
"6/18/2024, 9:52:05 AM",307,203,87,43559,16500,76766167,2226672
"6/18/2024, 9:52:07 AM",310,207,92,44745,17000,79161245,2267684
"6/18/2024, 9:52:09 AM",314,215,101,46136,17500,81315936,2349404
"6/18/2024, 9:52:11 AM",320,220,109,47250,18000,82891701,2434978
"6/18/2024, 9:52:12 AM",320,222,110,48194,18500,84058636,2439758
"6/18/2024, 9:52:14 AM",324,223,110,49067,19000,85334491,2452709
"6/18/2024, 9:52:15 AM",326,224,111,49985,19500,86351837,2461210
"6/18/2024, 9:52:16 AM",330,227,114,51065,20000,87993316,2486778
"6/18/2024, 9:52:18 AM",336,230,116,52193,20500,89947046,2526196
"6/18/2024, 9:52:20 AM",338,237,117,53165,21000,91492652,2572044
"6/18/2024, 9:52:22 AM",346,239,117,54287,21500,93205056,2587019
"6/18/2024, 9:52:24 AM",352,246,123,55597,22000,94850807,2649724
"6/18/2024, 9:52:25 AM",353,258,125,56898,22500,97165196,2713743
"6/18/2024, 9:52:28 AM",356,266,128,58101,23000,99268463,2782556
"6/18/2024, 9:52:30 AM",360,273,133,59333,23500,101245244,2820537
"6/18/2024, 9:52:32 AM",369,286,142,60463,24000,102904418,2954350
"6/18/2024, 9:52:34 AM",380,295,146,61708,24500,104804165,3009467
"6/18/2024, 9:52:36 AM",393,307,150,62876,25000,106719788,3082415
"6/18/2024, 9:52:38 AM",403,314,153,64102,25500,108790123,3140770
"6/18/2024, 9:52:40 AM",412,316,156,65228,26000,110957242,3198453
"6/18/2024, 9:52:42 AM",421,329,160,66543,26500,112831136,3302665
"6/18/2024, 9:52:45 AM",427,338,165,67877,27000,114971052,3372131
"6/18/2024, 9:52:47 AM",431,345,169,69047,27500,117026171,3408525
"6/18/2024, 9:52:49 AM",439,349,171,70415,28000,118964900,3430809
"6/18/2024, 9:52:50 AM",452,350,172,71676,28500,121030046,3482658
