time,avg duration (FPR 0.001),# matched txs (FPR 0.001),# processed txs (FPR 0.001),# matched bytes (FPR 0.001),# processed bytes (FPR 0.001),# last tx hash (FPR 0.001)
"6/20/2024, 11:34:26 AM",9.32,2660,500,16111063,2528338,DE+5DSrIWIGwwGjCq6IRoWPD1xuitLjIGlrKKZge3O8=
"6/20/2024, 11:34:46 AM",9.802,5316,1000,32931794,4856675,l7fj8RcKzgB2kXxBgY59F36b2nnOp+xmOpz/ACPQH2E=
"6/20/2024, 11:35:03 AM",10.756,8106,1500,50584809,7206227,9oJ69JFeCWFb/AP5eiyvzJE//hBLgj6nw2NzBH44OFk=
"6/20/2024, 11:35:16 AM",11.646,11176,2000,71607199,9798980,n4Jt60q1hhvBK8KK+TdnrlvZ+czG8Yz/3RqwfKKJDQM=
"6/20/2024, 11:35:28 AM",11.2352,14145,2500,92780378,12532899,kLU6Utox/ddln3jIp9RJ3GOULXrxqbqN8oubWLh3d3I=
"6/20/2024, 11:35:41 AM",10.98,17319,3000,116900496,15422543,Fii+3VJbzb1X9O32lTVipC3CpbQV8Hn3sKaDgaZUYb8=
"6/20/2024, 11:35:56 AM",10.816571428571429,20251,3500,134280853,17660483,bcdOZRVXD+eursFyvbAQPBKdayQAc6TG4bEeLwRacRE=
"6/20/2024, 11:36:14 AM",10.6945,23223,4000,154096057,20265852,UvAdgLC/WXDPpUIfDvFbjN4pDeznQULqO3xdzhyq4hI=
"6/20/2024, 11:36:29 AM",10.513777777777777,26001,4500,171188513,22575009,AVooLm2JLAIGIFmRYi/rlYiQt3aus3DxO3u2WAjMD68=
"6/20/2024, 11:36:48 AM",10.5728,28865,5000,188864920,24886079,gBYdDYGxh3jKR/1VppdTqoYwMCXq3vkkDRhjvY30JwA=
"6/20/2024, 11:37:07 AM",10.453818181818182,31683,5500,207189933,27245110,s0RsFronhsT3QSc6EtMUoIRVdDy+kGLd8wlBAFMddyQ=
"6/20/2024, 11:37:19 AM",10.34,34536,6000,226429604,29985472,bwvcDAxb5cLWsh065V84Iw2l9Vy9fpOq8veM4cfmQFQ=
"6/20/2024, 11:37:37 AM",10.363076923076923,37414,6500,244817077,32535173,QVVfvxh0TrmmJSVJyhx9IZFoNhKBfLV05N0nhP3xfuU=
"6/20/2024, 11:37:49 AM",10.250285714285715,40247,7000,261871052,34726487,QhaVId/Pydx+wF7yCJhUN8y+sbmDfV6Lbb13X3dY7lw=
"6/20/2024, 11:38:04 AM",10.209066666666667,43442,7500,282785226,37209349,uF53wvzZZS9dzPFNrD14BFb1tBGVo6r0sIBOBXSjhXA=
"6/20/2024, 11:38:14 AM",10.12825,46051,8000,298587329,39468271,mWkqMACA5kBSjFJHnovwpq4FgjZrDRdzIrMSIcdUFhY=
"6/20/2024, 11:38:26 AM",10.04564705882353,48689,8500,314893231,41768925,aQ/Ovi5qRIAeV0MkWVjhiaHpJU2wwrLvAjaJYH9vfJA=
"6/20/2024, 11:38:38 AM",9.983555555555556,51688,9000,336344952,44512689,L7eN1dBAc7VAy1w8JxR6umrTqjCeLT8yjY1XhMH02cI=
